station_name,id,station_id,latitude,longitude,capacity
Kedzie Ave & 54th Pl,24266,1963359453732131538,41.79431,-87.70348,11
Cottage Grove Ave & 51st St,TA1309000067,a3ac30c5-a135-11e9-9cda-0a87ae2ba916,41.803038,-87.606615,15
Exchange Ave & 79th St,580,a3b2905a-a135-11e9-9cda-0a87ae2ba916,41.75211500633265,-87.55200700025293,11
Wells St & Institute Pl,22001,90011328-f7bd-4b7b-8f95-8204a0b50f27,41.89737986072316,-87.63442039489746,11
Clarendon Ave & Junior Ter,13389,a3a8855c-a135-11e9-9cda-0a87ae2ba916,41.961004,-87.649603,23
Larrabee St & Menomonee St,TA1306000007,a3a3f0c6-a135-11e9-9cda-0a87ae2ba916,41.91468,-87.64332,15
Marine Dr & Ainslie St,KA1504000171,a3af52bc-a135-11e9-9cda-0a87ae2ba916,41.9716,-87.650154,23
Wood St & Chicago Ave,637,a3b419d9-a135-11e9-9cda-0a87ae2ba916,41.895634,-87.672069,15
Racine Ave & 18th St,13164,a3a3ace6-a135-11e9-9cda-0a87ae2ba916,41.8583996,-87.6564226,15
Michigan Ave & 18th St,13150,a3a99d47-a135-11e9-9cda-0a87ae2ba916,41.857926,-87.624336,23
Campbell Ave & Fullerton Ave,15648,a3b01a86-a135-11e9-9cda-0a87ae2ba916,41.92463247165,-87.6893070063,15
Ada St & Washington Blvd,13353,a3ac1607-a135-11e9-9cda-0a87ae2ba916,41.88283,-87.661206,15
Sheridan Rd & Lawrence Ave,TA1309000041,a3aaa68b-a135-11e9-9cda-0a87ae2ba916,41.969517,-87.654691,19
Calumet Ave & 71st St,15599,a3acea44-a135-11e9-9cda-0a87ae2ba916,41.76550800581,-87.616917925,11
Cannon Dr & Fullerton Ave,13124,a3a41004-a135-11e9-9cda-0a87ae2ba916,41.9267559875,-87.6344287848,15
Green St & Madison St,TA1307000120,a3a79adb-a135-11e9-9cda-0a87ae2ba916,41.881859328038225,-87.64926373958588,27
Damen Ave & 51st St,554,a3b20960-a135-11e9-9cda-0a87ae2ba916,41.800908,-87.674684,7
Wentworth Ave & 63rd St,KA1503000025,a3acdae2-a135-11e9-9cda-0a87ae2ba916,41.78007963264,-87.6297463052,11
Greenview Ave & Fullerton Ave,TA1307000001,a3a76cb6-a135-11e9-9cda-0a87ae2ba916,41.92533,-87.6658,15
Sheridan Rd & Loyola Ave,RP-009,a3ae87fa-a135-11e9-9cda-0a87ae2ba916,42.00104377979,-87.6611982433,23
Hermitage Ave & Polk St,13080,a3a965b2-a135-11e9-9cda-0a87ae2ba916,41.871514,-87.669886,15
Halsted St & 37th St,TA1307000161,a3a96aca-a135-11e9-9cda-0a87ae2ba916,41.827059,-87.64572,11
Austin Blvd & Madison St,16918,a3b1d532-a135-11e9-9cda-0a87ae2ba916,41.880281,-87.774453,11
Laramie Ave & Kinzie St,530,a3b11480-a135-11e9-9cda-0a87ae2ba916,41.887832,-87.755527,11
Central Ave & Harrison St,16915,a3b1c47b-a135-11e9-9cda-0a87ae2ba916,41.872993,-87.764499,11
Michigan Ave & Madison St,13036,a3a795d7-a135-11e9-9cda-0a87ae2ba916,41.882134,-87.625125,19
Hoyne Ave & 34th St,21337,1934289130932983934,41.8320245,-87.6778387,15
Oakley Ave & Irving Park Rd,KA1504000158,a3afbe2e-a135-11e9-9cda-0a87ae2ba916,41.95434085219,-87.6860796243,15
Long Ave & Diversey Ave,24326,1961472602929588766,41.93104,-87.76124,15
